"Frequency";"S11-Gain (dB)";"S11-Phase (°)";"S11-S-Real";"S11-S-Imaginary"
"127500000";"-6.769170488452896";"-118.72884200226771";"-0.22048749252317593";"-0.4022478042992714"
"1.28e+08";"-6.844824320776507";"-120.31844590599324";"-0.22955296902156294";"-0.39254265653495324"
"128500000";"-7.184679145008472";"-122.21898379256747";"-0.2331421758579746";"-0.3699515981725899"
"1.29e+08";"-7.46373151502727";"-124.37516938023394";"-0.23909004972802472";"-0.34950704023107576"
"129500000";"-7.6368851072523105";"-127.73194192038129";"-0.2540296971117961";"-0.32829759740056663"
"1.3e+08";"-7.562188768188407";"-130.68023951727776";"-0.2729163161628027";"-0.3175159276613537"
"130500000";"-8.17793049417226";"-135.3445734766789";"-0.27744995224723606";"-0.2741327261936745"
"1.31e+08";"-8.43330245322748";"-138.39055943880706";"-0.28317550670094843";"-0.25149842949371737"
"131500000";"-9.14114740647323";"-141.38329058313232";"-0.2727607343684226";"-0.21787230254301757"
"1.32e+08";"-9.64412829144813";"-144.55750570954993";"-0.26840475349234844";"-0.19104509130706993"
"132500000";"-10.190017066177637";"-149.90921766972744";"-0.2676897646579625";"-0.15511679756068744"
"1.33e+08";"-10.596788672699768";"-153.66033967072744";"-0.26457912841149894";"-0.13099110563460686"
"133500000";"-11.309875254535214";"-156.47630983347537";"-0.24935948984729597";"-0.10854720991249486"
"1.34e+08";"-12.309003941774105";"-160.86186495049247";"-0.22901183625834437";"-0.07947320159626418"
"134500000";"-13.480729638236454";"-168.1416582135619";"-0.207297830985161";"-0.04352711488250104"
"1.35e+08";"-14.712020661974968";"-172.30320695141367";"-0.18216651278511548";"-0.024619496346194314"
"135500000";"-16.245164805310843";"-177.9526260170201";"-0.15398004080084904";"-0.0055045760996085885"
"1.36e+08";"-17.397823597782697";"169.83145820782045";"-0.13281070404047976";"0.02382114447263956"
"136500000";"-19.880973662355068";"163.51926717224126";"-0.09721460463687144";"0.028760722063297696"
"1.37e+08";"-21.909988435734945";"152.83057364183168";"-0.07140435829297977";"0.036648702905984556"
"137500000";"-24.34413964792231";"129.1864276438243";"-0.038318108400712675";"0.04700537215435143"
"1.38e+08";"-24.45159544555883";"104.29355231072363";"-0.01478848431296304";"0.05804482549785877"
"138500000";"-23.00008668274199";"89.24297473164533";"0.0009353427261835301";"0.07078769269509828"
"1.39e+08";"-22.163279327028434";"70.047566795241";"0.0266008695719011";"0.073274507842205"
"139500000";"-20.92739927411205";"56.02044529989423";"0.05022984553887642";"0.07452615921711675"
"1.4e+08";"-18.47043900062222";"43.040245519615425";"0.08716072706517465";"0.0813932298155669"
"140500000";"-17.407963016245763";"31.51857180823443";"0.1148897645198394";"0.07045577334992084"
"1.41e+08";"-15.915868988660378";"34.073994321701946";"0.1325567742719968";"0.08965996500238324"
"141500000";"-14.947786226955149";"25.015449938827512";"0.16211819970156477";"0.07565018591912576"
"1.42e+08";"-14.118942855452767";"19.687918736683137";"0.18530723323313875";"0.06630551592541585"
"142500000";"-13.41634669021974";"20.57830329274333";"0.19977811799976133";"0.07500533007333461"
"1.43e+08";"-12.300730410739751";"15.442228687722798";"0.23388113796464854";"0.06460709176591593"
"143500000";"-11.802895085741515";"12.68476876705182";"0.2506824323829938";"0.056423705559724605"
"1.44e+08";"-11.413215170513524";"11.566864183098055";"0.2632864605001767";"0.05388628543870905"
"144500000";"-10.520023035674708";"8.450044488406917";"0.29461749159235706";"0.04376830235590204"
"1.45e+08";"-10.140094410786203";"6.618143814963436";"0.30909472541597016";"0.03586267475733437"
"145500000";"-9.799203728276792";"4.425878612564676";"0.3226582784191804";"0.024973803493209"
"1.46e+08";"-9.279689433174886";"2.1335985576242207";"0.34333204654760485";"0.012791021479494454"
"146500000";"-9.01465501556395";"-0.9783221837620794";"0.35416361024202375";"-0.006047911321827627"
"1.47e+08";"-8.6050181580004";"-2.2620244307220414";"0.3710312991704582";"-0.014655847115833651"
"147500000";"-8.224634529460515";"-4.7923585368241906";"0.3865870700717941";"-0.03241070168390548"
"1.48e+08";"-8.07811108370598";"-6.992812012603955";"0.39160825854171677";"-0.048033579329386004"
"148500000";"-7.677146001254159";"-8.378889911861094";"0.4087729616461628";"-0.06020845503502107"
"1.49e+08";"-7.482090373255048";"-10.968624680973642";"0.4148472522856414";"-0.08040240739118415"
"149500000";"-7.358071667407504";"-11.97694824794305";"0.4193126009155552";"-0.08895133618806249"
"1.5e+08";"-7.222828987581634";"-16.162955280603036";"0.41816155649300707";"-0.12119403406099721"
"150500000";"-6.884796525776526";"-16.27286677331006";"0.43451362788757913";"-0.12683734221682852"
"1.51e+08";"-6.600199038625089";"-18.895432281571978";"0.4425193054981739";"-0.15146880966341933"
"151500000";"-6.507661537987278";"-20.355258804062156";"0.4432136900234029";"-0.16443584315321563"
"1.52e+08";"-6.365184268096772";"-21.7242421745375";"0.44642170566704764";"-0.17787160585178105"
"152500000";"-6.2337766912872254";"-24.768909184557547";"0.44299557073742457";"-0.20440105466593664"
"1.53e+08";"-6.106659992034981";"-25.36301331219192";"0.4473515946016353";"-0.2120643684861079"
"153500000";"-5.976879844670327";"-27.173802482941632";"0.4470572307044042";"-0.229497870145409"
"1.54e+08";"-5.957550479035948";"-27.71251961683635";"0.4458708003762464";"-0.2342116987905686"
"154500000";"-5.69990804172784";"-29.594103912800023";"0.4511251473868524";"-0.25621335045431426"
