"Frequency";"S11-Gain (dB)";"S11-Phase (°)"
"3471571906";"-10.723183245071887";"60.16909561876448"
"3484949832";"-11.170721726911362";"66.17675188724725"
"3498327759";"-11.756227266969093";"76.325162210175"
"3511705685";"-12.631258420572436";"82.90389535654411"
"3525083611";"-13.42817170726157";"81.18870103041927"
"3538461538";"-12.404243456911656";"74.64703485175849"
"3551839464";"-11.970048634105076";"74.68159398414974"
"3565217391";"-12.887968181528993";"83.09315248447169"
"3578595317";"-13.021007107755782";"81.03246941115303"
"3591973244";"-11.053968613288127";"74.16989152359973"
"3605351170";"-9.082323546050128";"74.65113478221191"
"3618729096";"-7.965116862390159";"80.76286143212575"
"3632107023";"-7.6880432807789445";"91.68796605596987"
"3645484949";"-7.619839094664783";"101.0292656182315"
"3658862876";"-7.868672876476549";"109.00641051360287"
"3672240802";"-8.039231789352959";"114.01732361440318"
"3685618729";"-8.537975696918279";"122.00728975189298"
"3698996655";"-8.546426413773826";"129.5924473289241"
"3712374581";"-8.899189905909441";"138.96247626522631"
"3725752508";"-9.580604012927237";"149.35332714774157"
"3739130434";"-10.816124533145375";"161.1055000969463"
"3752508361";"-13.724397065941147";"173.76458961808018"
"3765886287";"-17.665576974752216";"-174.034704930099"
"3779264213";"-23.271428256420442";"156.18940085107164"
"3792642140";"-19.276218880689704";"110.39037549266212"
"3806020066";"-15.425441413399685";"111.64680618360643"
"3819397993";"-12.575067737888121";"118.15581717587202"
"3832775919";"-10.039578546146155";"117.94013986185116"
"3846153846";"-8.519375146577726";"137.3761506122797"
"3859531772";"-8.064246659913604";"155.4137060344741"
"3872909698";"-7.512821432827723";"169.30804801689268"
"3886287625";"-7.553853712129395";"-177.7306000667051"
"3899665551";"-8.27443005920928";"-163.3090931290269"
"3913043478";"-8.630716174535978";"-148.13821657141565"
"3926421404";"-8.618014048089412";"-129.0605439523193"
"3939799331";"-8.094425404716466";"-110.62977564183306"
"3953177257";"-8.293793354873483";"-83.0037904683498"
"3966555183";"-7.824624132692474";"-61.393135506166516"
"3979933110";"-7.922691494041266";"-33.34663730163259"
"3993311036";"-9.267305110280322";"10.086968202518852"
"4006688963";"-13.449297658826769";"69.35868616849748"
"4020066889";"-17.34586356242658";"133.73075021180512"
"4033444815";"-20.173085709608326";"-165.2357172149527"
"4046822742";"-26.533264947930526";"-121.68168116676455"
"4060200668";"-27.54163200751438";"108.17580346801182"
"4073578595";"-14.466332767538963";"141.43150143201024"
"4086956521";"-9.1147649334252";"168.93360834567875"
"4100334448";"-6.784773531806834";"-159.82186863342548"
"4113712374";"-5.491805073455243";"-135.64314172811584"
"4127090300";"-5.496212598240369";"-115.90264526913833"
"4140468227";"-5.795533340133807";"-98.28999918367028"
"4153846153";"-6.129019517014323";"-80.34144793173208"
"4167224080";"-6.18515027845101";"-66.87794869607828"
"4180602006";"-6.835149784616462";"-52.05422188045325"
"4193979933";"-6.37282565581916";"-36.00698833503424"
"4207357859";"-5.848306042454185";"-21.29745825877535"
"4220735785";"-5.537354708343822";"-16.831269488520256"
"4234113712";"-5.735492043590513";"-13.25955982450858"
"4247491638";"-6.806075695054247";"-6.266771800177879"
"4260869565";"-7.224946411128018";"9.032289214784536"
"4274247491";"-7.351764098615381";"17.978063332349866"
"4287625417";"-5.190924042546322";"11.112668458873488"
"4301003344";"-7.157712575277184";"10.898998514162074"
"4314381270";"-9.04964793891675";"22.89402574895619"
"4327759197";"-10.124630216353289";"41.710314569597905"
"4341137123";"-11.558008218710189";"64.97728256336516"
"4354515050";"-10.938674353508645";"99.38015633411675"
"4367892976";"-7.489237100937696";"132.2114227983579"
"4381270902";"-1.1663453597361988";"157.22939819013635"
"4394648829";"13.616019586746113";"175.63555224928058"
"4408026755";"3.9371601370044385";"-1.0095934377841849"
"4421404682";"-1.7477069073366194";"15.297446702556277"
"4434782608";"-6.197652362371526";"24.506966798533938"
"4448160535";"-9.78290093456225";"47.34864272502294"
"4461538461";"-13.335340356936008";"45.81319929137124"
"4474916387";"-16.415308959236025";"77.69677290284186"
"4488294314";"-29.29275869425938";"163.38844185069522"
"4501672240";"-16.67697593661498";"-119.72365757239137"
"4515050167";"-9.825279500435121";"-119.83084925054791"
"4528428093";"-2.2005608893142874";"-86.22273848227415"
"4541806019";"-0.8671092114339092";"-39.95897488532124"
"4555183946";"-1.7710491783776354";"-11.438536903324678"
"4568561872";"-3.8516138804024247";"7.118456526071485"
"4581939799";"-6.918214451855116";"16.531425517119718"
"4595317725";"-9.066485827437452";"13.097774895597425"
"4608695652";"-11.22215192434467";"-15.408238017602697"
"4622073578";"-9.837847412470055";"-21.287506986268475"
"4635451504";"-8.73130171399533";"-4.313414932285133"
"4648829431";"-8.300729301839219";"14.163117756808001"
"4662207357";"-8.995733582500128";"28.64264616376146"
"4675585284";"-11.273012925399756";"25.709498423288185"
"4688963210";"-9.299039317582201";"10.943654905985507"
"4702341137";"-7.940444413876342";"59.448806939546536"
"4715719063";"-12.997598119480752";"38.75992912150177"
