"Frequency";"S11-Gain (dB)";"S11-Phase (°)"
"2.143e+09";"-12.496043877053374";"-130.5166398502042"
"2144750000";"-13.464284099763269";"-115.28240117683457"
"2146500000";"-13.825692423863117";"-131.23388599453722"
"2148250000";"-15.126405679788535";"-99.01088774726107"
"2.15e+09";"-14.935341902835226";"-86.5519064463694"
"2151750000";"-13.863291935780776";"-115.1516917032615"
"2153500000";"-13.6963535036873";"-116.93105036619801"
"2155250000";"-12.642699614116122";"-95.24074683903059"
"2.157e+09";"-13.742008545860456";"-90.65221041291628"
"2158750000";"-17.887798968480247";"-36.77865691569141"
"2160500000";"-12.753785449987706";"-101.27044400678592"
"2162250000";"-12.75545721517142";"-75.48068398007536"
"2.164e+09";"-15.023650040369457";"-79.34468390641908"
"2165750000";"-15.189066507070736";"-6.604737216474957"
"2167500000";"-14.877961050309693";"-45.831264546382826"
"2169250000";"-14.679255420762896";"-38.30668865161651"
"2.171e+09";"-19.18075922750699";"-3.500343599700868"
"2172750000";"-16.088804093941377";"10.474129428611642"
"2174500000";"-19.649715547399566";"77.42635232624072"
"2176250000";"-14.975296389414897";"58.54591931339046"
"2.178e+09";"-19.16396218506337";"4.380286071772573"
"2179750000";"-19.652733415250715";"68.06046923021981"
"2181500000";"-22.984639665578854";"76.8696143162402"
"2183250000";"-17.42408007895675";"83.90771124629217"
"2.185e+09";"-21.916720730347233";"57.87434676388436"
"2186750000";"-11.71943800148296";"83.47891949315637"
"2188500000";"-25.20572181052591";"110.31627437370693"
"2190250000";"-13.965980684860806";"82.38949230410108"
"2.192e+09";"-15.298462666541326";"128.6938406459957"
"2193750000";"-13.01701171246638";"109.86306598524148"
"2195500000";"-22.310227515249355";"107.6574532357028"
"2197250000";"-13.1826917160048";"128.87215137829975"
"2.199e+09";"-12.099650607231391";"134.21828848523597"
"2200750000";"-11.831603365614502";"119.40680636641869"
"2202500000";"-12.844186175688206";"135.91901261851888"
"2204250000";"-9.567392839506319";"164.95767202765865"
"2.206e+09";"-11.944240554258808";"141.54382476341826"
"2207750000";"-11.24831069677395";"152.2220491765306"
"2209500000";"-13.303211086020902";"149.58956946963198"
"2211250000";"-11.151818935042858";"173.50978511277577"
"2.213e+09";"-9.523417776682418";"177.83448635078142"
"2214750000";"-9.426746171020703";"-169.98388522230158"
"2216500000";"-12.013229979057051";"-174.90680769092475"
"2218250000";"-11.326570991731678";"-172.2187043550354"
"2.22e+09";"-10.059909862847993";"-178.15511426184995"
"2221750000";"-10.81733417058901";"-177.28720178515564"
"2223500000";"-9.77008088880964";"-172.81430293774724"
"2225250000";"-11.266414591105715";"-172.29342252380096"
"2.227e+09";"-13.869456908354545";"-177.97915255371433"
"2228750000";"-10.066865055057853";"-129.6261263862174"
"2230500000";"-9.937295798351983";"-155.1757689939628"
"2232250000";"-14.372261933173863";"-145.4620284050541"
"2.234e+09";"-12.4762614147769";"-149.92615177601255"
"2235750000";"-12.979607885078437";"-151.06236999585292"
"2237500000";"-9.775535421578294";"-142.68614825344073"
"2239250000";"-11.664767551058349";"-116.83582498765135"
